name,address,phone,principal,grades,division
A. Henderson Elementary,"3799 Waterway Dr, Dumfries, VA 22025",703-670-2885,Ms. Suzanne Bevans,PK-5,Prince William County Public Schools
A.G. Richardson Elementary,"18370 Simms Dr, Culpeper, VA 22701",540-825-0616,Mrs. Susan E. Bridges,PK-5,Culpeper County Public Schools
A.M. Davis Elementary,"415 S Providence Rd, Richmond, VA 23236-3343",804-674-1310,Dr. Rachel Foglesong,PK-5,Chesterfield County Public Schools
A.P. Hill Elementary,"1450 Talley Avenue, Petersburg, VA 23803",804-862-7002,Mrs. Kori Reddick,KG-5,Petersburg Public Schools
A.S. Rhodes Elementary,"224 W Strasburg Rd, Front Royal, VA 22630",540-635-4556,Mrs. Doris S. Dean,KG-5,Warren County Public Schools
A.W.E. Bassette Elementary,"671 Bell St, Hampton, VA 23661",757-727-1071,Mr. Bryce R. Johnson,PK-5,Hampton Public Schools
Abb's Valley-Boissevain Elementary,"7030 Abb's Valley Road, Bluefield, VA 24605-0000",276-945-5969,Mr. Rodney Gillespie,PK-5,Tazewell County Public Schools
Aberdeen Elementary,"1424 Aberdeen Rd, Hampton, VA 23666",757-825-4624,Ms. Karla C. Young,PK-5,Hampton Public Schools
Abingdon Elementary,"3035 S Abingdon St, Arlington, VA 22206",703-228-6650,Ms. Joanne Uyeda,PK-5,Arlington County Public Schools
Abingdon Elementary,"7087 Powhatan Drvie, Hayes, VA 23072",804-642-9885,Ms. LaQuiche Parrott,PK-5,Gloucester County Public Schools
Abingdon Elementary,"19431 Woodland Hills Rd, Abingdon, VA 24210",276-739-3400,Mrs. Megan de Nobriga,PK-5,Washington County Public Schools
Abingdon High,"705 Thompson Dr, Abingdon, VA 24210",276-739-3200,Mr. Jimmy King,9-12,Washington County Public Schools
Academy at Virginia Randolph,"2204 Mountain Rd, Glen Allen, VA 23060",804-261-5085,Ms. Tanika J. Lawson,,Henrico County Public Schools
Accawmacke Elementary,"26230 Drummondtown Rd, Accomac, VA 23301",757-787-8013,Clara B. Chandler,PK-5,Accomack County Public Schools
Achievable Dream Academy,"726 16th St., Newport News, VA 23607",757-928-6827,Ms. Terra Chalmers-Haris,PK-5,Newport News Public Schools
Achievable Dream Middle/High,"5720 Marshall Ave., Newport News, VA 23605",757-283-7820,Ms. Marylin Sinclair-White,6-12,Newport News Public Schools
"Achievement, Integrity, And Maturity","c/o Kathryn Salerno, 2709 Popkins Lane, Alexandria, VA 22306",703-660-2064, ,,Fairfax County Public Schools
Achilles Elementary,"9306 Guinea Road, Hayes, VA 23072",804-642-9140,Ms. Molly Broderson,PK-5,Gloucester County Public Schools
Acquinton Elementary,"18550 King William Road, King William, VA 23086",804-769-3434,Mrs. Tara Garner,3-5,King William County Public Schools
Addison Aerospace Magnet Middle,"1220 5th Street NW, Roanoke, VA 24016",540-853-2681,Mr. Robert Johnson,6-8,Roanoke Public Schools
Admiral Richard E. Byrd Middle,"134 Rosa Lane, Winchester, VA 22602",540-662-0500,Ms. Teresa Ritenour,6-8,Frederick County Public Schools
